sentence,pred_sentence,pred_sentence_tok,sentence_tok
ฟิลลิปป้าเป็นคนเตะบอลและเจนเป็นคนเก็บมัน,เสรีภาพของคนเตะบอลและจะยังเป็นคนเก็บมัน,เสรีภาพ ของ คน เตะ บอล และ จะ ยัง เป็น คน เก็บ มัน,ฟิลลิป ป้า เป็น คน เตะ บอล และ เจน เป็น คน เก็บ มัน
ในประเทศอังกฤษเราใช้ถุงกระดาษในการช็อปปิ้ง,ในประเทศอังกฤษเราใช้ถุงกระดาษในการช้อปปิ้ง,ในประเทศ อังกฤษ เรา ใช้ ถุงกระดาษ ใน การ ช้อปปิ้ง,ในประเทศ อังกฤษ เรา ใช้ ถุงกระดาษ ใน การ ช็อปปิ้ง
ฉันขอเป็นทาโก้ค่ะ,ฉันขอเป็นผ้าค่ะ,ฉัน ขอ เป็น ผ้า ค่ะ,ฉัน ขอ เป็น ทา โก้ ค่ะ
คุณควรใช้ความหวังความปรารถนาและความปรารถนาของคุณให้เกิดประโยชน์สูงสุด,คุณควรใช้ความหวังความปรารถนาและความปรารถนาของคุณให้เกิดประโยชน์สูงสุด,คุณ ควร ใช้ ความหวัง ความปรารถนา และ ความปรารถนา ของ คุณ ให้ เกิด ประโยชน์ สูงสุด,คุณ ควร ใช้ ความหวัง ความปรารถนา และ ความปรารถนา ของ คุณ ให้ เกิด ประโยชน์ สูงสุด
อุ๊ปส์ฉันไม่ต้องการที่จะจู่โจมคุณ,อุ๊บส์ฉันไม่ต้องการที่จะจู่โจมคุณ,อุ๊บส์ ฉัน ไม่ต้องการ ที่จะ จู่โจม คุณ,อุ๊ปส์ ฉัน ไม่ต้องการ ที่จะ จู่โจม คุณ
โอ้มันน่าจะสนุก,โอ้มันน่าจะสนุก,โอ้ มัน น่าจะ สนุก,โอ้ มัน น่าจะ สนุก
คุณคิดว่าคุณถูกสร้างให้เป็นอะไร,คุณคิดว่าคุณถูกสร้างให้เป็นอะไร,คุณ คิด ว่า คุณ ถูก สร้าง ให้ เป็น อะไร,คุณ คิด ว่า คุณ ถูก สร้าง ให้ เป็น อะไร
มันแค่หลังจากตอนกลางวันเอง,มันแค่หลังจากตอนกลางวันเอง,มัน แค่ หลังจาก ตอนกลางวัน เอง,มัน แค่ หลังจาก ตอนกลางวัน เอง
มีปลาไหลแก้วอยู่ในเมนูวันนี้ก็จริงแต่มันก็แพงเกินไป,มีปลาไหลแก้วอยู่ในเมนูวันนี้ก็จริงแต่มันก็แพงเกินไป,มี ปลาไหล แก้ว อยู่ ใน เมนู วันนี้ ก็ จริง แต่ มัน ก็ แพง เกินไป,มี ปลาไหล แก้ว อยู่ ใน เมนู วันนี้ ก็ จริง แต่ มัน ก็ แพง เกินไป
เขาตัดสินใจไม่ได้ว่าจะอาบน้ำหรือจะแช่อ่างดี,เขาตัดสินใจไม่ได้ว่าจะอาบน้ำหรือจะแช่อ่างดี,เขา ตัดสินใจ ไม่ ได้ ว่า จะ อาบน้ำ หรือ จะ แช่ อ่าง ดี,เขา ตัดสินใจ ไม่ ได้ ว่า จะ อาบน้ำ หรือ จะ แช่ อ่าง ดี
คุณจะทำอันนี้ไหม,คุณจะทำอันนี้ไหม,คุณ จะ ทำ อันนี้ ไหม,คุณ จะ ทำ อันนี้ ไหม
คุณกำลังทำอะไรอยู่ที่นั่น,คุณกำลังทำอะไรอยู่ที่นั่น,คุณ กำลัง ทำ อะไร อยู่ ที่นั่น,คุณ กำลัง ทำ อะไร อยู่ ที่นั่น
ไม่มีอะไรที่ดีกว่านี้อีกแล้ว,ไม่มีอะไรที่ดีกว่านี้อีกแล้ว,ไม่ มี อะไร ที่ ดีกว่า นี้ อีกแล้ว,ไม่ มี อะไร ที่ ดีกว่า นี้ อีกแล้ว
ขอโทษนะฉันจะหาหนังสือการบัญชีเพื่อยืมได้ที่ไหน,ขอโทษนะฉันจะหันซื้อการบัญชีผู้ยืมได้ที่ไหน,ขอโทษ นะ ฉัน จะ หัน ซื้อ การบัญชี ผู้ยืม ได้ ที่ไหน,ขอโทษ นะ ฉัน จะ หา หนังสือ การบัญชี เพื่อ ยืม ได้ ที่ไหน
คุณกล้าพอไหมที่จะเข้ามาขัดขวางและก่อกวน,คุณค่าความหมายที่จะเข้ามาขัดขวางและก่อกวน,คุณค่า ความหมาย ที่จะ เข้ามา ขัดขวาง และ ก่อกวน,คุณ กล้า พอ ไหม ที่จะ เข้ามา ขัดขวาง และ ก่อกวน
ได้ละเธอร้องไห้อย่างดีใจในชัยชนะ,ได้รับขอร้องให้อย่างดีใจในชัยชนะ,ได้รับ ขอร้อง ให้ อย่าง ดีใจ ใน ชัยชนะ,ได้ ละ เธอ ร้องไห้ อย่าง ดีใจ ใน ชัยชนะ
เธอคาดว่าเค้กวันเกิดของเธอควรเป็นสีชมพูไม่ใช่สีม่วง,เธอคาดว่าเค้กวันเกิดของเธอควรเป็นสีชมพูไม่ใช่สีม่วง,เธอ คาด ว่า เค้ก วันเกิด ของ เธอ ควร เป็น สีชมพู ไม่ ใช่ สีม่วง,เธอ คาด ว่า เค้ก วันเกิด ของ เธอ ควร เป็น สีชมพู ไม่ ใช่ สีม่วง
คุณไม่รู้จักเขาใช่ไหม,คุณไม่รู้จักเขาใช่ไหม,คุณ ไม่ รู้จัก เขา ใช่ไหม,คุณ ไม่ รู้จัก เขา ใช่ไหม
แต่ฉันไม่เชื่อว่าเขาจะแต่งงานกัน,แต่ฉันไม่เชื่อว่าเขาจะแต่งงานกัน,แต่ ฉัน ไม่ เชื่อ ว่า เขา จะ แต่งงาน กัน,แต่ ฉัน ไม่ เชื่อ ว่า เขา จะ แต่งงาน กัน
ยังมีอะไรอีกบ้างที่เกี่ยวกับการเมือง,ยังมีอะไรอีกบ้างที่เกี่ยวกับการเมือง,ยังมี อะไร อีก บ้าง ที่ เกี่ยวกับ การเมือง,ยังมี อะไร อีก บ้าง ที่ เกี่ยวกับ การเมือง
ว้าวคุณไปไวมากบนซิปไลน์,ว้าวคุณไปไวมากเป็นสิบราย,ว้าว คุณ ไป ไว มาก เป็น สิบ ราย,ว้าว คุณ ไป ไว มาก บน ซิป ไลน์
ฉันเข้าใจหมดแล้ว,ฉันเข้าใจหมดแล้ว,ฉัน เข้าใจ หมด แล้ว,ฉัน เข้าใจ หมด แล้ว
ที่โรงเรียนเด็กเล็กก่อนมาที่นี่,ที่โรงเรียนเด็กเล็กก่อนมาที่นี่,ที่ โรงเรียน เด็กเล็ก ก่อน มา ที่นี่,ที่ โรงเรียน เด็กเล็ก ก่อน มา ที่นี่
เราชนะ,เราชนะ,เรา ชนะ,เรา ชนะ
คุณมีอะไร,คุณมีอะไร,คุณ มี อะไร,คุณ มี อะไร
อลิซส่ายหัวไปมา,อลิซไสหัวไปมา,อ ลิ ซ ไสหัว ไปมา,อ ลิ ซ ส่าย หัว ไปมา
ฉันยังไม่ได้ต้องการมันในอีกสองวันนี้หรอก,ฉันยังไม่ได้ต้องการมันอีกสองวันนี้หรอก,ฉัน ยัง ไม่ ได้ ต้องการ มัน อีก สอง วันนี้ หรอก,ฉัน ยัง ไม่ ได้ ต้องการ มัน ใน อีก สอง วันนี้ หรอก
ก่อนที่ฟิลิปจะฟื้นตัวการ์ดของเจนนี่อยู่กับเขาตลอด,ก่อนที่ฟิล์มจะฟื้นตัวการของเจนนี่อยู่กับเขาตลอด,ก่อนที่ ฟิล์ม จะ ฟื้น ตัวการ ของ เจน นี่ อยู่ กับ เขา ตลอด,ก่อนที่ ฟิลิป จะ ฟื้นตัว การ์ด ของ เจน นี่ อยู่ กับ เขา ตลอด
แต่เขารักษาหน้าหล่อนอย่างดีแล้วก็ทำงานจนเสร็จ,ถ้าเค้ารักษาหน้าหล่อนอย่างดีแล้วก็ทำงานจนเสร็จ,ถ้า เค้า รักษาหน้า หล่อน อย่าง ดี แล้วก็ ทำงาน จน เสร็จ,แต่ เขา รักษาหน้า หล่อน อย่าง ดี แล้วก็ ทำงาน จน เสร็จ
ยุงเป็นแมลงที่น่ารำคาญมากในฤดูร้อนและสามารถนำมาซึ่งความป่วยไข้ได้,ยุ่งเป็นแมลงที่น่ารำคาญมากในฤดูร้อนและสามารถนำมาซึ่งความป่วยไข้ได้,ยุ่ง เป็น แมลง ที่ น่ารำคาญ มาก ใน ฤดูร้อน และ สามารถ นำมาซึ่ง ความป่วยไข้ ได้,ยุง เป็น แมลง ที่ น่ารำคาญ มาก ใน ฤดูร้อน และ สามารถ นำมาซึ่ง ความป่วยไข้ ได้
เขาจะไม่เคยจดจำอะไรเลยใช่ไหม,เขาจะไม่เคยจดจำอะไรเลยใช่ไหม,เขา จะ ไม่ เคย จดจำ อะไร เลย ใช่ไหม,เขา จะ ไม่ เคย จดจำ อะไร เลย ใช่ไหม
เส้นผ่าศูนย์กลางไม่เกินแปดยาร์ด,เส้นผ่าศูนย์กลางไม่เกินแปดหยาด,เส้นผ่าศูนย์กลาง ไม่ เกิน แปด หยาด,เส้นผ่าศูนย์กลาง ไม่ เกิน แปด ยา ร์ด
พวกเรากำลังทำให้พวกเขาไม่ได้พักผ่อน,พวกเรากำลังทำให้พวกเขาไม่ได้พักผ่อน,พวกเรา กำลัง ทำให้ พวกเขา ไม่ ได้ พักผ่อน,พวกเรา กำลัง ทำให้ พวกเขา ไม่ ได้ พักผ่อน
คุณไม่สามารถชงชาในหม้อเย็นได้,คุณไม่สามารถชงชาในมเย็นได้,คุณ ไม่ สามารถ ชงชา ใน ม เย็น ได้,คุณ ไม่ สามารถ ชงชา ใน หม้อ เย็น ได้
ทหารผ่านศึกผู้รักชาติถูกส่งกลับสหรัฐอเมริกา,ทหารผ่านศึกผู้รักชาติถูกส่งกล่อมสหรัฐอเมริกา,ทหารผ่านศึก ผู้รักชาติ ถูก ส่ง กล่อม สหรัฐอเมริกา,ทหารผ่านศึก ผู้รักชาติ ถูก ส่งกลับ สหรัฐอเมริกา
เค้ากำลังทำความเข้าใจกับภาพลักษณ์,เขากำลังทำความเข้าใจกับภาพลักษณ์,เขา กำลัง ทำความเข้าใจ กับ ภาพลักษณ์,เค้า กำลัง ทำความเข้าใจ กับ ภาพลักษณ์
คุณคิดอย่างนั้นเพราะฉันเที่ยวน้อย,คุณคิดอย่างนั้นเพราะฉันเที่ยวน้อย,คุณ คิด อย่างนั้น เพราะ ฉัน เที่ยว น้อย,คุณ คิด อย่างนั้น เพราะ ฉัน เที่ยว น้อย
การวินิจฉัยโรคจำเป็นต้องทำอย่างละเอียดและรอบคอบ,การวินิจฉัยโรคจำเป็นต้องทำอย่างละเอียดรอบคอบ,การวินิจฉัยโรค จำเป็นต้อง ทำ อย่าง ละเอียด รอบคอบ,การวินิจฉัยโรค จำเป็นต้อง ทำ อย่าง ละเอียด และ รอบคอบ
หลังจากการฟาว์ลผู้คนที่อยู่ในสนามกีฬาก็ตะโกนอย่างดุดัน,หลังจากการฟาล์วผู้คนที่อยู่ในสนามกีฬาก็ตะโกนอย่างดุดัน,หลังจาก การ ฟา ล์ว ผู้คน ที่อยู่ ใน สนามกีฬา ก็ ตะโกน อย่าง ดุดัน,หลังจาก การ ฟา ว์ล ผู้คน ที่อยู่ ใน สนามกีฬา ก็ ตะโกน อย่าง ดุดัน
สายถูกตัดเพราะสาเหตุอะไรไม่รู้,สายถูกตัดเพราะสาเหตุอะไรไม่รู้,สาย ถูก ตัด เพราะ สาเหตุ อะไร ไม่ รู้,สาย ถูก ตัด เพราะ สาเหตุ อะไร ไม่ รู้
พื้นที่ถูกเคลือบทำให้เราทรงตัวลำบาก,เพื่อนที่ถูกเคลือบทำให้เราส่งตัวลำบาก,เพื่อน ที่ ถูก เคลือบ ทำให้ เรา ส่งตัว ลำบาก,พื้นที่ ถูก เคลือบ ทำให้ เรา ทรงตัว ลำบาก
คุณทราบได้อย่างไร,คุณทราบได้อย่างไร,คุณ ทราบ ได้ อย่างไร,คุณ ทราบ ได้ อย่างไร
ธุรกิจที่นี่เลวร้ายมากในเช้านี้ครับท่าน,ธุรกิจที่นี่เลวร้ายมากในเช้านี้ครับท่าน,ธุรกิจ ที่นี่ เลวร้าย มาก ใน เช้านี้ ครับ ท่าน,ธุรกิจ ที่นี่ เลวร้าย มาก ใน เช้านี้ ครับ ท่าน
อาจจะเสี่ยงต่อการต่อต้านหากจะถามว่าทำไม,อาจจะเสี่ยงต่อการต่อต้านอาจจะถามว่าทำไม,อาจจะ เสี่ยง ต่อ การ ต่อต้าน อาจจะ ถาม ว่า ทำไม,อาจจะ เสี่ยง ต่อ การ ต่อต้าน หาก จะ ถาม ว่า ทำไม
ยาเม็ดพวกนี้ไม่ได้ให้ประโยชน์มากกว่าอันอื่น,ยาเม็ดพวกนี้ไม่ได้ให้ประโยชน์มากกว่าอันอื่น,ยาเม็ด พวก นี้ ไม่ ได้ ให้ ประโยชน์ มากกว่า อัน อื่น,ยาเม็ด พวก นี้ ไม่ ได้ ให้ ประโยชน์ มากกว่า อัน อื่น
ฉันอยากจะแต่งสุนทรพจน์,ฉันอยากจะแต่งสุนทรพจน์,ฉัน อยาก จะ แต่ง สุนทรพจน์,ฉัน อยาก จะ แต่ง สุนทรพจน์
ฉันคิดไว้แล้วแหละว่าฉันรู้ว่าฉันทำมันไปทำไม,ฉันคิดว่าแล้วว่าฉันรู้ว่าฉันทำมันไปทำไม,ฉัน คิด ว่าแล้ว ว่า ฉัน รู้ ว่า ฉัน ทำ มัน ไป ทำไม,ฉัน คิด ไว้ แล้ว แหละ ว่า ฉัน รู้ ว่า ฉัน ทำ มัน ไป ทำไม
ไม่เคยเจออะไรที่เหมือนกันขนาดนี้มาก่อนในชีวิต,ไม่เคยเจออะไรที่เหมือนกันขนาดนี้มาก่อนในชีวิต,ไม่ เคย เจอ อะไร ที่ เหมือนกัน ขนาด นี้ มา ก่อน ใน ชีวิต,ไม่ เคย เจอ อะไร ที่ เหมือนกัน ขนาด นี้ มา ก่อน ใน ชีวิต
ฉันมองกระจก,ฉันมองกระจก,ฉัน มอง กระจก,ฉัน มอง กระจก
พวกเขาเป็นฝาแฝดหรือแค่พี่น้องปกติ,พวกเขาเป็นฝาแฝดหรือแค่พี่น้องปกติ,พวกเขา เป็น ฝาแฝด หรือ แค่ พี่น้อง ปกติ,พวกเขา เป็น ฝาแฝด หรือ แค่ พี่น้อง ปกติ
ฉันสงสารเธอมาก,ฉันสงสารเธอมาก,ฉัน สงสาร เธอ มาก,ฉัน สงสาร เธอ มาก
ร้านหัวมุมถูกปล้นเมื่อคืน,ร้านหัวมุมถูกปล้นเมื่อคืน,ร้าน หัวมุม ถูก ปล้น เมื่อคืน,ร้าน หัวมุม ถูก ปล้น เมื่อคืน
พายุร้ายทำลายยุ้งฉางลง,พายุร้ายทำลายยุ้งฉางลง,พายุ ร้าย ทำลาย ยุ้งฉาง ลง,พายุ ร้าย ทำลาย ยุ้งฉาง ลง
เหรียญโบราณทั้งเก่าทั้งบุบสลาย,เรียนโบราณทั้งเก่าทั้งบุบสลาย,เรียน โบราณ ทั้ง เก่า ทั้ง บุบสลาย,เหรียญ โบราณ ทั้ง เก่า ทั้ง บุบสลาย
บริษัทที่สนใจเรื่องระบบอัตโนมัติต้องมีการอบรมพนักงานด้วย,บริษัทที่สนใจเรื่องระบบอัตโนมัติต้องมีการอบรมพนักงานด้วย,บริษัท ที่ สนใจ เรื่อง ระบบ อัตโนมัติ ต้อง มี การอบรม พนักงาน ด้วย,บริษัท ที่ สนใจ เรื่อง ระบบ อัตโนมัติ ต้อง มี การอบรม พนักงาน ด้วย
คุณจะไปรับเธอที่ไหน,คุณจะไปรับเธอที่ไหน,คุณ จะ ไป รับ เธอ ที่ไหน,คุณ จะ ไป รับ เธอ ที่ไหน
ทูน่าจะอร่อยขึ้นถ้ากินกับขนมปัง,ชุดน่าจะอร่อยขึ้นทั้งกินกับขนมปัง,ชุด น่าจะ อร่อย ขึ้น ทั้ง กิน กับ ขนมปัง,ทู น่าจะ อร่อย ขึ้น ถ้า กิน กับ ขนมปัง
ตั้งชื่อของผู้ใช้สำหรับเข้าใช้งาน,ตั้งชื่อของผู้ใช้สำหรับเข้าใช้งาน,ตั้งชื่อ ของ ผู้ใช้ สำหรับ เข้า ใช้งาน,ตั้งชื่อ ของ ผู้ใช้ สำหรับ เข้า ใช้งาน
พวกเราจะออกจากปาร์ตี้ตอนไหน,พวกเราจะออกจากบ้านตีตอนไหน,พวกเรา จะ ออกจาก บ้าน ตี ตอน ไหน,พวกเรา จะ ออกจาก ปาร์ตี้ ตอน ไหน
อีสเทอร์คุณกำลังจะไปที่ไหน,EASTERคุณกำลังจะไปที่ไหน,EASTER คุณ กำลังจะ ไป ที่ไหน,อีส เท อร ์ คุณ กำลังจะ ไป ที่ไหน
เพื่อนเอ๋ยเขาจะมีเงินเป็นตัวเองแล้ว,เพื่อนเอ๊ยเขาจะมีเงินเป็นของตัวเองแล้ว,เพื่อน เอ๊ย เขา จะ มีเงิน เป็น ของ ตัวเอง แล้ว,เพื่อน เอ๋ย เขา จะ มีเงิน เป็น ตัวเอง แล้ว
พวกเขาอยู่ในสภาไม่มีใครรู้ประวัติของเขา,พวกคุณอยู่ในสภาไม่มีใครรู้ประวัติของเขา,พวกคุณ อยู่ ใน สภา ไม่ มี ใคร รู้ ประวัติ ของ เขา,พวกเขา อยู่ ใน สภา ไม่ มี ใคร รู้ ประวัติ ของ เขา
แสดงได้ดีมากและทั้งหมดนั้น,แสดงได้ดีมากและทั้งหมดนั้น,แสดง ได้ ดีมาก และ ทั้งหมด นั้น,แสดง ได้ ดีมาก และ ทั้งหมด นั้น
หล่อนได้เงินไปเท่าไหร่,หล่อนได้เงินไปเท่าไหร่,หล่อน ได้เงิน ไป เท่าไหร่,หล่อน ได้เงิน ไป เท่าไหร่
ฉันไปที่สวนอีกครั้งและระมัดระวังมากขึ้น,ฉันไปที่สวนอีกครั้งและระมัดระวังมากขึ้น,ฉัน ไป ที่ สวน อีกครั้ง และ ระมัดระวัง มากขึ้น,ฉัน ไป ที่ สวน อีกครั้ง และ ระมัดระวัง มากขึ้น
แล้วห้องนี่ล่ะมันว่างเปล่าด้วยไหม,แล้วห้องนี้ล่ะมันว่างเปล่าหรือไม่,แล้ว ห้อง นี้ ล่ะ มัน ว่างเปล่า หรือไม่,แล้ว ห้อง นี่ ล่ะ มัน ว่างเปล่า ด้วย ไหม
เมื่อไหร่คุณจะส่งรายงานให้ฉัน,เมื่อไหร่คุณจะส่งรายงานที่ฉัน,เมื่อไหร่ คุณ จะ ส่ง รายงาน ที่ ฉัน,เมื่อไหร่ คุณ จะ ส่ง รายงาน ให้ ฉัน
มันไกลจากที่นี่ไหม,ไกลจากที่นี่ไหม,ไกล จาก ที่นี่ ไหม,มัน ไกล จาก ที่นี่ ไหม
ฉันไม่ได้เข้าเรียนวิชาที่ว่าด้วยโรคผิวหนังขอยืมสมุดจดของคุณหน่อยได้ไหม,ฉันไม่ได้เข้าเรียนวิชาที่ว่าด้วยโรคผิวหนังขอยืมสมุดโน้ตของคุณหน่อยได้ไหม,ฉัน ไม่ ได้ เข้าเรียน วิชา ที่ ว่าด้วย โรคผิวหนัง ขอยืม สมุด โน้ต ของ คุณ หน่อย ได้ ไหม,ฉัน ไม่ ได้ เข้าเรียน วิชา ที่ ว่าด้วย โรคผิวหนัง ขอยืม สมุด จด ของ คุณ หน่อย ได้ ไหม
ให้พวกเรานั่งลง,ให้พวกเรานั่งลง,ให้ พวกเรา นั่งลง,ให้ พวกเรา นั่งลง
สายลับลักลอบเข้าไปในสถานทูตทางหลังคา,SYRUPลักลอบเข้าไปในสถานทูตทั้งหลังคา,SYRUP ลักลอบ เข้าไป ใน สถานทูต ทั้ง หลังคา,สายลับ ลักลอบ เข้าไป ใน สถานทูต ทาง หลังคา
คุณทราบเรื่องนี้จากที่ไหนฉันถาม,คุณทราบเรื่องนี้จากที่ไหนฉันถาม,คุณ ทราบ เรื่อง นี้ จาก ที่ไหน ฉัน ถาม,คุณ ทราบ เรื่อง นี้ จาก ที่ไหน ฉัน ถาม
มันอยู่ที่นี่แล้วไงต่อ,มันอยู่ที่นี่ร้องไห้ต่อ,มัน อยู่ ที่นี่ ร้องไห้ ต่อ,มัน อยู่ ที่นี่ แล้ว ไง ต่อ
ซิการ์เผาทำให้ผิวโต๊ะเป็นรู,ซิการ์เผาทำให้ผิวโต๊ะเป็นรู,ซิการ์ เผา ทำให้ ผิว โต๊ะ เป็น รู,ซิการ์ เผา ทำให้ ผิว โต๊ะ เป็น รู
ฉันสงสัยว่าชื่อของฉันจะเป็นอะไรเมื่อเข้าไปข้างใน,ฉันสงสัยว่าชื่อของฉันจะเป็นอะไรเมื่อเข้าไปข้างใน,ฉัน สงสัย ว่า ชื่อ ของ ฉัน จะ เป็น อะไร เมื่อ เข้าไป ข้างใน,ฉัน สงสัย ว่า ชื่อ ของ ฉัน จะ เป็น อะไร เมื่อ เข้าไป ข้างใน
ถ้าพีทข่มขู่ใครอีกเขาก็ควรจะถูกไล่ออก,ถ้าคิดข่มขู่ใครอีกเขาก็ควรจะถูกไล่ออก,ถ้า คิด ข่มขู่ ใคร อีก เขา ก็ ควรจะ ถูก ไล่ออก,ถ้า พีท ข่มขู่ ใคร อีก เขา ก็ ควรจะ ถูก ไล่ออก
ซุกแผ่นไว้ใต้มุมของเสื่อ,ซุปแผ่นไว้ใต้มุมของเสือ,ซุป แผ่น ไว้ ใต้ มุม ของ เสือ,ซุก แผ่น ไว้ ใต้ มุม ของ เสื่อ
คุณช่วยตอบรับโทรศัพท์นั้นได้ไหม,คุณช่วยตอบรับโทรศัพท์นั่นได้ไหม,คุณ ช่วย ตอบ รับโทรศัพท์ นั่น ได้ ไหม,คุณ ช่วย ตอบ รับโทรศัพท์ นั้น ได้ ไหม
เบียร์นี้บ่มจากเยอรมันที่เมืองบาวาเรีย,เบียร์นิยมจากเยอรมันที่เมืองบาวาเรีย,เบียร์ นิยม จาก เยอรมัน ที่ เมือง บา วา เรีย,เบียร์ นี้ บ่ม จาก เยอรมัน ที่ เมือง บา วา เรีย
ครบรอบปีที่แปลกประหลาดโดยไม่จำเป็น,ครบรอบปีที่แปลกประหลาดโดยไม่จำเป็น,ครบรอบ ปี ที่ แปลกประหลาด โดยไม่จำเป็น,ครบรอบ ปี ที่ แปลกประหลาด โดยไม่จำเป็น
คุณคิดไม่ออกแน่ว่าเขาดีกับปลาอย่างไร,คุณคิดไม่ออกแน่ว่าเขาดีกับปลาอย่างไร,คุณ คิดไม่ออก แน่ ว่า เขา ดี กับ ปลา อย่างไร,คุณ คิดไม่ออก แน่ ว่า เขา ดี กับ ปลา อย่างไร
โปรดอย่าให้อาหารเป็ด,โปรดอย่าให้อาหารเป็ด,โปรด อย่า ให้อาหาร เป็ด,โปรด อย่า ให้อาหาร เป็ด
เทียนสว่างสไวในห้องมืดที่ใกล้โรงรถ,เทียนสว่างไสวในห้องมืดที่ใกล้โรงรถ,เทียน สว่างไสว ใน ห้องมืด ที่ ใกล้ โรงรถ,เทียน สว่าง ส ไว ใน ห้องมืด ที่ ใกล้ โรงรถ
เจ้าเป็นสัตว์เป็นพืชหรือเป็นแร่ธาตุกันละเขากล่าวเสียงยานคางแทบทุกคำที่พูด,เจ้าเป็นสันเป็นพืชหรือเป็นแร่ธาตุกันล่ะเขากล่าวเอาเสียงยานคางแทบทุกคำที่พูด,เจ้า เป็น สัน เป็น พืช หรือ เป็น แร่ธาตุ กัน ล่ะ เขา กล่าว เอา เสียง ยานคาง แทบ ทุก คำ ที่ พูด,เจ้า เป็น สัตว์ เป็น พืช หรือ เป็น แร่ธาตุ กัน ละ เขา กล่าว เสียง ยานคาง แทบ ทุก คำ ที่ พูด
เธออยู่ในร้านหรือไม่,ถ้าอยู่ในร้านหรือไม่,ถ้า อยู่ ใน ร้าน หรือไม่,เธอ อยู่ ใน ร้าน หรือไม่
เธอคือนักโทษของฉันคุณรู้ไหมอัศวินแดงพูดในที่สุด,เธอคือนักโทษของฉันคุณรู้ไหมอาจจะดินแดงพูดในที่สุด,เธอ คือ นักโทษ ของ ฉัน คุณ รู้ ไหม อาจจะ ดินแดง พูด ในที่สุด,เธอ คือ นักโทษ ของ ฉัน คุณ รู้ ไหม อัศวิน แดง พูด ในที่สุด
ช้าลงหน่อยให้คนข้ามทางม้าลายก่อน,ช้าลงหน่อยให้คนข้ามทางม้าลายก่อน,ช้า ลง หน่อย ให้ คน ข้าม ทางม้าลาย ก่อน,ช้า ลง หน่อย ให้ คน ข้าม ทางม้าลาย ก่อน
ฉันว่ามันเป็นไปไม่ได้,ฉันว่ามันเป็นไปไม่ได้,ฉัน ว่า มัน เป็นไปไม่ได้,ฉัน ว่า มัน เป็นไปไม่ได้
ปิดสวิตช์,ปิดสวิตซ์,ปิด ส วิ ตซ์,ปิดสวิตช์
หยุดคุกคามประชาชนร่างรัฐธรรมนูญใหม่ยุบสภา,หยุดคุกคามประชาชนร่างรัฐธรรมนูญใหม่ยิ้มสภา,หยุด คุกคาม ประชาชน ร่างรัฐธรรมนูญ ใหม่ ยิ้ม สภา,หยุด คุกคาม ประชาชน ร่างรัฐธรรมนูญ ใหม่ ยุบสภา
ชาติที่แล้ว,ชาติที่แล้ว,ชาติที่แล้ว,ชาติที่แล้ว
บางทีก็เมื่อหน้าร้อนที่ผ่านมา,บางทีก็เมื่อหน้าร้อนที่ผ่านมา,บางที ก็ เมื่อ หน้าร้อน ที่ผ่านมา,บางที ก็ เมื่อ หน้าร้อน ที่ผ่านมา
สิบเจ็ดนาฬิกา,สิบเจ็ดนาฬิกา,สิบ เจ็ด นาฬิกา,สิบ เจ็ด นาฬิกา
ฟังดูพิจารณาแต่ห้ามขัดจังหวะ,ฟังดูพิจารณาแต่ห้ามขัดจังหวะ,ฟัง ดู พิจารณา แต่ ห้าม ขัดจังหวะ,ฟัง ดู พิจารณา แต่ ห้าม ขัดจังหวะ
ทำไมฉันถึงต้องตามหาเธอบ่อยบ่อยถ้าฉันไม่สนใจ,ทำไมฉันถึงต้องตามหาเธอไปบ่อยถ้าฉันไม่สนใจ,ทำไม ฉัน ถึง ต้อง ตามหา เธอ ไป บ่อย ถ้า ฉัน ไม่ สนใจ,ทำไม ฉัน ถึง ต้อง ตามหา เธอ บ่อย บ่อย ถ้า ฉัน ไม่ สนใจ
รหัสไปรษณีย์,รหัสไปรษณีย์,รหัสไปรษณีย์,รหัสไปรษณีย์
ฉันเห็นสิ่งที่มีความหมาย,ฉันเห็นสิ่งที่มีความหมาย,ฉัน เห็น สิ่ง ที่ มีความหมาย,ฉัน เห็น สิ่ง ที่ มีความหมาย
ฉันไม่ควรเชื่อแบบสำรวจเพราะว่ามันเก่าไปแล้ว,ฉันไม่ควรเชื่อแบบสำรวจเพราะว่ามันเก่าไปแล้ว,ฉัน ไม่ ควร เชื่อ แบบ สำรวจ เพราะว่า มัน เก่า ไป แล้ว,ฉัน ไม่ ควร เชื่อ แบบ สำรวจ เพราะว่า มัน เก่า ไป แล้ว
มาฆะ,มาคะ,มา คะ,มาฆะ
นักล่ารู้สึกตื่นตัวจากเสียงตะกุกตะกักของพืชผักข้างหลัง,นักรู้สึกตื่นตัวจากเสียงตะกุกตะกักของพืชผักข้างหลัง,นัก รู้สึก ตื่นตัว จาก เสียง ตะกุกตะกัก ของ พืชผัก ข้างหลัง,นัก ล่า รู้สึก ตื่นตัว จาก เสียง ตะกุกตะกัก ของ พืชผัก ข้างหลัง
