sentence,pred_sentence_tok
คุณไปไหนมาเมื่อบ่าย,คุณ ไป ไหน มา เมื่อ บ่าย
คุณได้ให้การอะไรกับตำรวจหรือไม่,คุณ ได้ ให้การ อะไร กับ ตำรวจ หรือไม่
ฉันไม่ได้รู้สึกผ่อนคลายอย่างสงบ,ฉัน ไม่ ได้ รู้สึก ผ่อนคลาย อย่าง สงบ
เอาล่ะ ฉันต้องมีเงิน ฉันต้องหาให้ได้,เอาล่ะ   ฉัน ต้อง มีเงิน   ฉัน ต้องหา ให้ได้
ของโปรดทั้งนั้นเลย,ของ โปรด ทาง นั้น เลย
เธอรู้ว่านั่นคือความหิว เธอเกือบจะเป็นลมแล้ว,เธอ รู้ ว่า นั่น คือ ความหิว   เธอ เกือบจะ เป็นลม แล้ว
ให้ข้าวหลามเป็นที่รู้จักในวงกว้างมากขึ้น,ให้ ขาวหลาม เป็นที่รู้จัก ใน วงกว้าง มากขึ้น
อาลันชอถามว่าเขาเป็นผู้ชายยังไง,อา ลัน ชอ ถาม ว่า เขา เป็น ผู้ชาย ยังไง
ไม่ต้องสงสัยเลยว่าทำไมใส่หน้ากาก,ไม่ต้องสงสัย เลย ว่า ทำไม ใส่หน้ากาก
วิคกี้เป็นคริสตชน,วิค กี้ เป็น คริสต์ชน
เราจำเป็นต้องตรวจเช็คคลังสินค้า และต้องให้แน่ใจว่าเรามีสินค้าเพียงพอ,เรา จำเป็นต้อง ตรวจ เช็ค คลังสินค้า   และ ต้อง ให้ แน่ใจ ว่า เรา มี สินค้า เพียงพอ
คนอเมริกันชอบทำบาร์บีคิว,คน อเมริกัน ชอบ ทำ บาบี คิว
อัตราการว่างงานน่าตกใจ,อัตรา การ ว่าง งาน น่า ตกใจ
ฉันยืมกล่องดินสอของคุณแล้ว,ฉัน ยืม กล่องดินสอ ของ คุณ แล้ว
แสงจันทร์ ความมืด รุ่งอรุณ พระอาทิตย์ขึ้น กลางวัน,แสงจันทร์   ความมืด   รุ่งอรุณ   พระอาทิตย์ ขึ้น   กลางวัน
ผลส้มยังไม่สุกงอมนัก,ผน ส้ม ยัง ไม่ สุกงอม นัก
ค่อนข้างชัดเจนว่าเธอไม่ได้อยู่ในครอบครัว,ค่อนข้าง ชัดเจน ว่า เธอ ไม่ ได้ อยู่ ใน ครอบครัว
ไดโนเสาร์กำลังผสมพันธุ์,ไดโนเสาร์ กำลัง ผสมพันธ์
ลูกเสียใจไหมล่ะ,ลูก เสียใจ ไหม ล่ะ
ฉันไม่ค่อยเข้าใจสิ่งนี้เท่าไหร่,ฉัน ไม่ค่อย เข้าใจ สิ่ง นี้ เท่าไหร่
อย่าส่งเสียงดังรบกวนผู้อื่น,อย่า ส่ง เสียงดัง รบกวน ผู้อื่น
คุณทำดีที่สุดแล้ว,คุณ ทำดีที่สุด แล้ว
อะไรคือสาเหตุของสิ่งที่เกิดขึ้นกันแน่,อะไร คือ สาเหตุ ของ สิ่ง ที่ เกิดขึ้น กัน แน่
คุณได้ยินที่เธอพูดแล้วนี่ ฉันว่าเธอพูดถูกนะ,คุณ ได้ยิน ที่ เธอ พูด แล้ว นี่   ฉัน ว่า เธอ พูด ถูก นะ
ขอบคุณพระเจ้าสำหรับสิ่งนั้น,ขอบคุณ พระเจ้า สำหรับ สิ่ง นั้น
คิดการใหญ่ใจต้องนิ่ง,คิด การณ ใหญ่  ใจ ต้อง นิ่ง
ใช่ฉันกำลังพูดกับคุณ,ใช่   ฉัน กำลัง พูด กับ คุณ
ห้องครัวเป็นห้องทำอาหาร,ห้องครัว เป็น ห้อง ทำอาหาร
วัดวาในเมืองไทยมีมากมาย,วัดวา ใน เมือง ไทย มี มากมาย
มันคือความเข้าใจผิดที่เป็นเรื่องปกติ เชลดอนกล่าว,มัน คือ ความเข้าใจ ผิดที่ เป็นเรื่อง ปกติ   เชล ดอน กล่าว
ต้อยเหมือนติ่ง,ต้อย เหมือน ตริ่ง
ฉันอาจจะตั้งใจส่งคุณไปที่นั่น,ฉัน อาจจะ ตั้งใจ ส่ง คุณ ไป ที่นั่น
นั่นคือสิ่งที่ฉันต้องการ,นั่น คือ สิ่ง ที่ ฉัน ต้องการ
มีการฆาตกรรมที่ไหน,มี การ ฆาตกรรม ที่ไหน
ความสงสัยสามารถทำให้แมวตายได้ แต่ความพึงพอใจก็สามารถนำมันกลับมาได้เช่นกัน,ความสงสัย สามารถ ทำให้ แมว ตาย ได้   แต่ ความพึงพอใจ ก็ สามารถ นำ มัน กลับมา ได้ เช่นกัน
วิกิดาต้าเป็นหนึ่งในโกดังข้อมูลที่เปิดให้เข้าถึงได้อย่างเสรี,วิกิ ดา ตา   เป็นหนึ่ง ใน โกรดัง ข้อมูล ที่ เปิด ให้ เข้าถึง ได้ อย่าง เสรี
พรมปูพื้นผืนนี้ปราณีตจริง,พรม ปู พื้น ผืน นี้   ปรา นี ต จริง
คุณต้องการเท่าไหร่,คุณ ต้องการ เท่าไร
ใครเห็นเป้ของผมบ้าง,ใคร เห็น เป้ ของ ผม บ้าง
โชคร้ายจังที่คำตอบนั้นไม่ถาวร,โชคร้าย จัง ที่ คำตอบ นั้น ไม่ ถาวร
นี่คือหน้าต้นขั้ว,นี่ คือ หน้า ต้น ขั้ว
ฉันดีใจที่ความพยายามของฉันได้รับการตอบแทน,ฉัน ดีใจ ที่ ความพยายาม ของ ฉัน ได้รับ การตอบแทน
ไม่อยากเหงาเลย,ไม่ อยาก เหนา เลย
คุณเห็นว่ามีเลือดไหลออกมาเธอพูดกับอลิซด้วยรอยยิ้ม,คุณ เห็น ว่า มี เลือด ไหล ออกมา   เธอ พูด กับ อ ลิ ซ ด้วย รอยยิ้ม
ไม่ดื่มเครื่องดื่มแอลกอฮอล์,ไม่ ดื่ม เครื่องดื่ม แอลกอฮอล์
คุณใช้กระดาษชำระยี่ห้ออะไร,คุณ ใช้ กระดาษชำระ ยี่ห้อ อะไร
เราเดินทางไปเยี่ยมชมร้านชาที่แสนสวยงาม ในละแวกใกล้โบสถ์,เรา เดินทาง ไป เยี่ยมชม ร้านชา ที่ แสน สวยงาม ใน ระแวกใกล้ โบสถ์
ตำรวจกำลังสืบสวนในกรณีนี้,ตำรวจ กำลัง สืบสวน ใน กรณีนี้
ลดขยะและมลพิษเป็นความรับผิดชอบร่วมกัน,ลด ขยะ และ มลพิษ เป็น ความรับผิดชอบ ร่วมกัน
เด็กคนนั้นกำลังกินสายไหม,เด็ก คน นั้น กำลัง กิน สายไหม
ผมไม่เคยอ่านหนังสือที่เขาเขียน,ผม ไม่ เคย อ่านหนังสือ ที่ เขา เขียน
ซอสสำหรับห่านเป็นซอสสำหรับแกนเดอร์,ซอส สำหรับ ห่าน เป็น ซอส สำหรับ แกน เดอร์
เขาไปถึงที่นั่นเร็วจึงได้ที่นั่งที่ดี,เขา ไป ถึง ที่นั่น เร็ว จึง ได้ ที่นั่ง ที่ ดี
ฉันชอบกินข้าวมันไก่,ฉัน ชอบ กิน ข้าวมันไก่
เธอวิ่งกลับไปแล้ว และวิ่งออกมาอีกครั้งตอนที่เห็นฉัน,เธอ วิ่ง กลับ ไป แล้ว   แล้ว วิ่ง ออกมา อีกครั้ง ตอนที่ เห็น ฉัน
ตามปฏิทินในเดือนกันยายน,ตั้ง ปฏิทิน ใน เดือน กันยายน
ไม่ว่าคุณจะทำอะไรอย่าทำให้เธอกลัว,ไม่ ว่า คุณ จะ ทำ อะไร อย่า ทำให้ เธอ กลัว
เขายืนอยู่พร้อมดวงตากลมโตและปากค้าง,เขา ยืน อยู่ พร้อม ดวงตา กลม โต และ ปากค้าง
ฉันรู้ว่าเขาดูดุดันแค่ไหน,ฉัน รู้ ว่า เขา ดูดุกดัน แค่ ไหน
เธอพยายามช่วยเขาอย่างสุดความสามารถ,เธอ พยายาม ช่วย เขา ยัง สุดความสามารถ
คุณครูตีฉันไม่ได้นะ,คุณครู ตี ฉัน ไม่ ได้ นะ
ลูคีเมียของคนอังกฤษก็คือโรคลูคีเมียของชาวอเมริกา,ลูก คีเมีย ของ คน อังกฤษ ก็ คือ โรค ลู คีเมีย ของ ชาว อเมริกา
และนั่นคืออะไร,และ นั่น คือ อะไร
เราจะไปที่วิลล่า โรส,เรา จะ ไป ที่ วิลล่า โรส
ไม่เอเลี่ยนจะไม่เข้าครอบครอง,ไม่   เอ เลี่ยน จะ ไม่ เข้า ครอบครอง
เรามาทดสอบระบบตัดประโยคในภาษาไทยกันครับ,เรา มา ทดสอบ ระบบ ตัด ประโยค ใน ภาษาไทย กัน ครับ
มีพิธีกรรมหลายอย่างในงานวันนี้,มี พิธีกรรม หลายอย่าง ใน งาน วันนี้
หลังจากที่ฉันทำเอกสารชุดแรกเสร็จฉันก็เข้าสู่ขั้นตอนการทำงาน,หลังจากที่ ฉัน ทำ เอกสาร ชุด แรก เสร็จ   ฉัน ก็ เข้าสู่ ขั้นตอน การทำงาน
เขาเขียนจดหมายในคาบเรียน,เขา เขียนจดหมาย ใน คาบเรียน
ยาที่ดีที่สุดว่ากันว่าเป็นเสียงหัวเราะ,ยา ที่ ดี ที่สุด ว่า มัน ว่า เป็น เสียง หัวเราะ
เนื่องจากภาวะซึมเศร้าของฉันฉันได้รับการแนะนำให้เห็นจิตแพทย์,เนื่องจาก ภาวะ ซึมเศร้า ของ ฉัน   ฉัน ได้รับ การ แนะนำ ให้ เห็น จิตแพทย์
คุณไม่ชอบหรือ,คุณ ไม่ ชอบ หรือ
มันคือฟางที่ทำให้หลังอูฐหัก,มัน คือ ฟาง ที่ ทำให้ หลัง อูดหัก
แองเจลาอยู่ที่ไหน,แอ ง เจ ล่า อยู่ ที่ไหน
ฉันสังเกตการจากไปของคุณ,ฉัน สัง เกตุ การ จากไป ของ คุณ
ผักสดอยู่ในตะกร้า,ผัก สวด อยู่ ใน ตะกร้า
สวนสาธารณะลอยฟ้าเจ็ดชั้นใช้เงินรัฐบาลสร้างเป็นสิบล้านบาท,สวนสาธารณะ รอยฟ้า เจ็ดชั้น ใช้ เงิน รัฐบาล สร้าง เป็น สิบ ล้าน บาท
แค่เซ็นชื่อตรงนี้แล้วเดี๋ยวฉันจะจัดเตรียมให้คุณเอง,แค่ เซ็นชื่อ ตรงนี้   แล้ว เดี๋ยว ฉัน จะ จัดเตรียม ให้ คุณ เอง
คุณคิดยังไงกับเพลงนี้,คุณ คิด ยังไง กับ เพลง นี้
นั่นไม่ใช่บ้านเขา,นั่น ไม่ ใช่ บ้าน เขา
เราควรฉลองวันครบรอบของเราในบาร์คาราโอเกะใหม่,เรา ควร ฉลอง วัน ครบรอบ ของ เรา ใน บาคารโอเกะ ใหม่
ช่วงเลือกตั้งมีข่าวปลอมออกมาเยอะมาก,ช่วงเลือกตั้ง มี ข่าว ปลอม ออกมา เยอะ มาก
มันเป็นรถเก่า,มัน เป็น รถ เก่า
การกระทำนี้เมื่อคืนนี้เวลาสิบโมง,การกระทำ นี้ เมื่อคืนนี้ เวลา สิบ โมง
มันเป็นข้อดีของเธอ และเป็นการปลุกใจฉัน,มัน เป็น ข้อดี ของ เธอ และ เป็นการ ปลูกใจ ฉัน
ปีศาจเอาเขาไป,ปีศาจ เอา เข้า ไป
กรมอุตุนิยมวิทยาประกาศแจ้งเตือนพายุฤดูร้อน,กรมอุตุนิยมวิทยา ประกาศ แจ้ง เตือน พายุ ฤดูร้อน
อะไรกันกับ ความปนเปื้อน ความโกง และ การทำอันตรายต่อกัน ทอมได้แก้แค้นแล้วนิ,อะไร กัน กับ ความ ปนเปื้อน   ความโกง   และ การ ทำอันตราย ต่อกัน   ทอม ได้ แก้ แค แล้ว นี้
เราทำให้พวกเขาประหลาดใจไปแล้ว,เรา ทำให้ พวกเขา ประหลาดใจ ไป แล้ว
คุณใช่ไหมที่มาที่นี่และอินเทอร์เฟส,คุณ ใช่ไหม ที่มา ที่นี่ และ อินเตอร์ เฟซ
โจ เด็กผู้ชายคนนั้นชื่ออะไร,โจ   เด็กผู้ชาย คน นั้น ชื่อ อะไร
ฉันต้องพูดให้นิ่ม,ฉัน ต้อง พูด ที่ นิ่ง
คุณต้องการโยเกิร์ตรสชาติอะไรจากห้างสรรพสินค้าแห่งนี้,คุณ ต้องการ ยูเกิร์ต รสชาติ อะไร จาก ห้าคสรรพสินค้า แห่ง นี้
มียาเสพติดซุกซ่อนมากับรถคันนี้,มี ยาเสพติด ทุก ซ่อน มา กับ รถ คัน นี้
ฉันสามารถเห็นสิ่งที่เกิดขึ้นหลังเวทีผ่านรูรับแสงนี้,ฉัน สามารถ เห็น สิ่ง ที่ เกิดขึ้น หลัง เวที ผ่าน รู้ รับแสง นี้
พวกเขาฟกช้ำอย่างรุนแรงมาก,พวกเขา ฟกช้ำ อย่าง รุนแรง มาก
มันบ้ารึเปล่า,มัน บ้า หรือเปล่า
เขาไม่ได้กวน,เขา ไม่ ได้ กวน
ชุดเดรสสีอ่อนวางอยู่ด้านล่าง,ชุด เด รยต สี อ่อน วาง อยู่ ด้านล่าง
เธอไม่เกรงกลัวฉันใช่มั้ย ทอม,เธอ ไม่ เกรง กรัว ฉัน ใช่ มั๊ย   ทอม
ฉันเป็นโรคแพ้กลูเตน แล้วในนี้ก็มีอาหารหลายอย่างที่ฉันไม่สามารถย่อยได้,ฉัน เป็นโรค แพ้ กลู เต น แล้ว ใน นี้ ก็ มี อาหาร หลายอย่าง ที่ ฉัน ไม่ สามารถ ย่อย ได้
ขอบคุณมากที่ช่วยบริจาคเงินให้ผม,ขอบคุณ มาก ที่ ช่วย บริจาค เงิน ให้ ผม
รอบเมืองทั้งหมด เขาถาม,ราบ เมือง ทั้งหมด เขา ถาม
นอร์ทโรดเคยเป็นสนามฟุตบอล และคริกเกตในนิวตันฮีท แมนเชสเตอร์ ประเทศอังกฤษ,นอร์ท โร ด เคย เป็น สนามฟุตบอล และ ค ริก เก ต ใน นิว ทัน ฮีท แมนเชสเตอร์  ประเทศ อังกฤษ
คุณทำเพื่ออะไร,คุณ ทำ เพื่อ อะไร
เพื่อนคนนี้เข้าหาเมื่อเขาพูด,เพื่อน คน นี้ เข้าหา   เมื่อ เขา พูด
ฉันลืมเอาร่มมา,ฉัน ลืม เอา ร่ม มา
ฉันซื้อมันมาได้ในราคาแค่เศษเสี้ยวเดียวของราคาขาย,ฉัน ซื้อ มัน มา ได้ ใน ราคา แค่ เสษ เสี้ยวเลียว ของ ราคา ขาย
ฉันทำมาแล้วนะ,ฉัน ทำ มาแล้ว นะ
น้ำตกธรรมชาติที่มีน้ำใสไหลเย็นลดหลั่นกันเป็นชั้นชั้น,น้ำตก ธรรมชาติ ที่ มี น้ำ ใส หลาเย็น ลด หล่น กัน เป็น ฉัน   ชั้น
ในที่มืดมืดมนและว่างเปล่า,ใน ที่ มืด มืดมน และ ว่างเปล่า
คนรักเป็นคนที่ทำไม่ได้,คนรัก เป็น คน ที่ ทำ ไม่ ได้
ฉันไม่มีนาฬิกา,ฉัน ไม่ มี นาฬิกา
ประเมินว่าบ้านหลังนี้มีมูลค่าเก้าหมื่นปอนด์ก่อนเกิดอุทกภัย,ประเมิน ว่า บ้าน หลัง นี้ มี มูลค่า เก้า เหมือน ปอนด์ ก่อน เกิด อุทกภัย
อัลบั้มชุดพันปีประกอบด้วยรีมิกซ์และเนื้อเพลงหลายชุด,อัลบั้ม ชุด พันปี   ประกอบด้วย รี มิกซ์ และ เนื้อเพลง หลาย ชุด
จะเร็วและลึกซึ้งอะไรขนาดนั้น,จะ เร็ว ละ ลึกซึ้ง อะไร ขนาด นั้น
มันก็เกือบจะทำให้คนสงสารเขานะ,มัน ก็ เกือบจะ ทำให้ คนสงสาร เขา นะ
รหัสผ่านของฉันถูกเปลี่ยนแปลงโดยไม่ได้รับอนุญาต,รหัสผ่าน ของ ฉัน ถูก เปลี่ยนแปลง โดย ไม่ ได้รับอนุญาต
เด็กหญิงสุนันท์นั่งในห้องเรียน,เด็กหญิง สุนัน นั่ง ใน ห้องเรียน
จากนั้นเขาก็ยืนขึ้น,จากนั้น เขา ก็ ยืน ขึ้น
ผู้รักษาประตูกำลังแสดงปฏิกิริยาตอบสนองของเขาในวันนี้,ผู้รักษาประตู กำลัง แสดง ปฏิกิริยา ตอบสนอง ของ เขา ใน วันนี้
โปรดหยุดการบันทึกโดยกดปุ่มอีกครั้งเมื่อคุณอ่านประโยคนี้เสร็จแล้ว,โปรด หยุด การ บันทึก โดย กดปุ่ม อีกครั้ง เมื่อ คุณ อ่าน ประโยค นี้ เสร็จ แล้ว
เราจะไปเที่ยวในรถบ้านของเราในเดือนหน้า,เรา จะ ไปเที่ยว ใน รถ บ้าน ของ เรา ใน เดือน หน้า
ทำไมเธอจึงไม่เข้าใจ,ทำไม เธอ จึง ไม่ เข้าใจ
มันทำให้ฉันรู้สึกอยากร้องไห้ มองไปด้านไหนก็มีแต่คอนกรีต,มัน ทำให้ ฉัน รู้สึก อยาก ร้องไห้   มอง ไป ด้าน ไหน ก็ มี แต่ คอนกรีต
ตอนนี้ใกล้เที่ยงคืนแล้ว,ตอนนี้ ใกล้ เที่ยงคืน แล้ว
มันคือหน่วยประมวลผลแบบออกตาคอร์,มัน คือ หน่วย ประมวลผล แบบ ออก ตา คอ
พรุ่งนี้ต้องไปหาหมอ,พรุ่งนี้ ต้อง ไปหา หมอ
อิเนสชอบไปว่ายน้ำ,อี เนส ชอบ ไป ว่ายน้ำ
ตำรวจพบเจอเครื่องเพชรและยึดคืน,ตำรวจ พบ เจอ เครื่อง เพชร และ ยึด คืน
การแก้ปัญหาคือซ้ำไปซ้ำมา,การ แก้ปัญหา คือ ซ้ำ ไป ซ้ำมา
พวกเขาจะถูกพบที่นั่น,พวกเขา จะ ถูก พบ ที่นั่น
คุณเห็นฮอลลี่มั้ย,คุณ เห็น ฮอล ลี่ ไหม
ฉันได้ทำในส่วนของฉันแล้ว,ฉัน ได้ ทำ ใน ส่วน ของ ฉัน แล้ว
ราคาหุ้นขึ้นมาเป็นหนึ่งร้อยสิบสี่บาทต่อหน่วย,ราคา หุ้น ขึ้น มา เป็น หนึ่งร้อย สิบ สี่ บาท ตอ น่วย
ฉันดีใจที่มันจบลงแล้ว,ฉัน ดีใจ ที่ มัน จบ ลง แล้ว
สำหรับผู้พิทักษ์ที่ดีที่สุดเท่านั้น,สำหรับ ผู้พิทักษ์ ที่ ดี ที่สุด เท่านั้น
นอกจากนี้ตัวเลขจะถูกเขียนเป็นตัวเลขหรือเป็นคำหรือไม่,นอกจากนี้ ตัวเลข จะ ถูก เขียน เป็น ตัวเลข หรือ เป็น คำ หรือไม่
ฉันอยู่นี่ บาร์ทพูด,ฉัน อยู่ นี่   บาส พูด
ภรรยาของฉันคลอดลูกสัปดาห์ที่แล้ว,ภรรยา ของ ฉัน ค็ะ ลูก สัปดาห์ ที่แล้ว
ฉันรู้สึกราวกับว่าฉันไม่แม้แต่จะกล้าที่จะได้ยินมัน,ฉัน รู้สึก ราวกับว่า ฉัน ไม่ แม้แต่จะ กล้า ที่จะ ได้ยิน มัน
คุณรู้จักเขาไหม,คุณ รู้จัก เขา ไหม
ลูกช่วยหยิบผ้าปูโต๊ะที่ซักแล้วหน่อย,ลูกช่วย หยิบผ้าปู โต๊ะ ที่ ซัก แล้ว หน่อย
เขาบอกว่านี่มันมากเกินไปด้วยลางสังหรณ์ที่ไม่ดี,เขา บอ กว่า  นี่ มัน มากเกินไป ด้วย ล้าง สังหร ที่ ไม่ ดี
ไม่เป็นอันตรายหรือไม่หากนั่งในที่โล่ง,ไม่ เป็นอันตราย หรือไม่ หาก นั่ง ใน ที่โล่ง
ดอกกัลปพฤกษ์เป็นดอกไม้ประจำของมหาวิทยาลัยขอนแก่น,ดอก กัลปพึกษิ์ เป็น ดอกไม้ประจำ ของ มหาวิทยาลัยขอนแก่น
ฉันนึกว่าเขากำลังยุ่ง ฉันจึงเดินเอาขยะออกไป,ฉัน นึก ว่า เขา กำลัง ยุ่ง   ฉัน จึง เดิน เอา ขยะ ออก ไป
มือถืออะไรอยู่อ่ะ,มือถือ อะไร อยู่ อ่ะ
เอาล่ะ พวกเขากินข้าวหรือยัง,เอาล่ะ   พวกเขา กินข้าว หรือยัง
เขาจะไปบางแสนกับเราหรือไม่,เขา จะ ไป บางแสง กับ เรา หรือไม่
ไม่มีคนโง่อย่างเช่นคนแก่,ไม่ มี คนโง่ อย่าง เช่น คนแก่
อรุณสวัสดิ์วันจันทร์,อรุณ สวัสด วัน จันทร์
มันไม่ได้เป็นเพียงแค่ความหลงใหล แต่มันคือความเชื่อด้วยเช่นกัน,มัน ไม่ ได้ เป็น เพียงแค่ ความ หลงใหล   แต่ มัน คือ ความเชื่อ ด้วย เช่นกัน
เขาถูกจำคุกโดยไม่มีเหตุผล,เขา ถูก จำคุก โดย ไม่ มีเหตุผล
นักมายากลดึงดอกไม้ออกมาจากช่องกระเป๋าผ้าเช็ดหน้า,นัก มายากล ดึง ดอกไม้ ออก มาจาก ช่อง กระเป๋า ผ้าเช็ดหน้า
ที่ที่นกร้องเพราะ,ที่ ที่ นกร้อง เพราะ
เรารู้อะไรแล้ว,เรา รู้ อะไร แล้ว
ฉันเป่านกหวีด,ฉัน เป้่า นก หวีด
ฝนตกอย่างหนักมาก เมื่อคืนนี้,ฝน ตก อย่าง หนัก มาก เมื่อคืนนี้
ฉันไม่สามารถแทนที่กัซซี่ได้,ฉัน ไม่ สามารถ แทนที่ กัส ซี่ ได้
เธอจะได้เห็นทั้งวัน,เธอ จะ ได้ เห็น ทั้งวัน
มีน้ำตาลเยอะเกินไปในเจลโล่,มี น้ำตาล เยอะ เกินไป ใน เจล โล่
สีหน้าของเธอเริ่มแสดงออกถึงความตั้งใจบางอย่าง,สีหน้า ของ เธอ เริ่ม แสดงออก ถึง ความตั้งใจ บางอย่าง
สวดมนต์เพื่อระมัดระวังตัวเอง,สวดมลต์ เพื่อ ระมัดระวัง ตัวเอง
เขากระซิบในน้ำเสียงเกรงขาม,เขา กระซิบ ใน น้ำเสียง เกรงขาม
พวกเราทั้งหมดต่างก็ผิด,พวกเรา ทั้งหมด ต่าง ก็ คิด
มานี่เพื่อนเก่า,มา นี่   เพื่อนเก่า
เกาะถูกปกคลุมไปด้วยคลื่นหมอกหนา,เกาะ ถูก ปกคลุม ไป ด้วย คลื่น หมอก หนา
ฉันได้ยินคุณเรียกเธอด้วยชื่อนั้น,ฉัน ได้ยิน คุณ เรียก เธอ ด้วย ชื่อ นั้น
ไม่ว่าจะทางใดก็ตาม ฉันคิดว่าเราควรระวังอย่างมาก,ไม่ ว่า จะ ทาง ใด ก็ตาม   ฉัน คิด ว่า เรา ควรระวัง อย่าง มาก
ใช่แล้ว คุณน่ะสงสัยเขา,ใช่ แล้ว   คุณ สงสัย เขา
หมดเวลาแล้ว วางปากกาลง,มด เวลา แล้ว ว่าง ปากกา ลง
แต่มันไม่ใช่ มันถูกเผาอย่างต่อเนื่อง,แต่ มัน ไม่ ใช่   มัน ถูก เผา อย่าง ต่อเนื่อง
ฉันทุ่มเทกับมันมาก,ฉัน ทุ่มเค กับ มัน มาก
ฉันไม่รู้วิธีวิเคราะห์ประโยคนี้,ฉัน ไม่ รู้ วิธี วิเคราะห์ ประโยค นี้
เพราะเขาบอกว่าจะไม่มา,เพราะ เขา บอ กว่า จะ ไม่ มา
เธอกำลังจะพูดอะไรนะ,เธอ กำลังจะ พูด อะไร นะ
โปรดอย่าสับสนกับปุ่มบนเครื่องนี้,โปรด อย่า สับสน กับ ปุ่ม บน เครื่อง นี้
ขอบคุณพระเจ้าสำหรับสิ่งนั้น,ขอบคุณ พระเจ้า สำหรับ สิ่ง นั้น
งูฉีดพิษ,งู ฉีด พิษ
คุณรู้ว่าฉันหมายความว่าอะไร,คุณ รู้ ว่า ฉัน หมายความว่า อะไร
เธอแพ้แล้ว,เธอ แพ้ แล้ว
เออนี่ ม้าหมุนไม่น่าตื่นเต้นเอาซะเลย,เออ นี่ ม้าหมุน ไม่ น่าตื่นเต้น เอา ซะ เลย
ฉันเป็นม้าบินตัวจริง,ฉัน เป็น ม้า บิน ตัวจริง
โธ่ ไม่นะ พระราชาตรัส,โท่   ไม่ นะ   พรราชา ตรัส
ผมยกเลิกใบประกาศนียบัตรบางส่วนไปแล้วแต่เขายังไม่ได้ตัดชื่อในใบรายชื่อออก,ผม ยกเลิก ใบ ประกาศนียบัตร บางส่วน ไป แล้ว   แต่ เขา ยัง ไม่ ได้ ตัดชื่อ ใน ใบ รายชื่อ ออก
ถ้าชีวิตมอบมะนาวให้คุณ ก็ทำน้ำมะนาวเถอะ,ถ้า ชีวิต มอบ มะนาว ให้ คุณ ก็ ทำ น้ำ มะนาว เถอะ
ฉันจะบอกคุณได้อย่างไรว่าคุณเหมาะสมที่จะเข้าร่วมค่าย,ฉัน จะ บอก คุณ ได้ อย่างไร ว่า คุณ เหมาะสม ที่จะ เข้าร่วม ค่าย
การเดินทางไปเที่ยวเซี่ยงไฮ้เป็นอย่างไรบ้าง,การ เดินทาง ไปเที่ยว เซียง ไฮ ์ เป็น อย่างไรบ้าง
ฉัน น่าจะ ประสบความสำเร็จ,ฉัน น่าจะ ประสบความสำเร็จ
สุดยอด ชาร์ลี ปรบมือด้วยความชื่นชม,สุดยอด   ชาลี ปรบมือ ด้วย ความ ชื่มชม
ไม่ต้องเป็นห่วง เราจะหาเขาให้เจอ,ไม่ต้อง เป็นห่วง   เรา จะ หา เขา ให้ เจอ
อ๊ะ ผู้หญิงคนอื่น,อะ   ผู้หญิง คนอื่น
หลักฐานกำลังปิดบังซ่อนเร้น,หลักฐาน กำลัง ปิด บาง ซ่อนเร้น
ข้อเท้าของเธอเป็นอิสระ,ข้าวเท้า ของ เธอ เป็นอิสระ
ฉันจะอาบน้ำลูกหลังจากดื่มชาเสร็จ,ฉัน จะ อาบ น้ำ ลูก หลังจาก ดื่ม ชา เสร็จ
ไม่มีเด็กเล็ก หรือ เด็กโตท่ามกลางพวกเขา,ไม่ มี เด็กเล็ก หรือ เด็ก โต ท่ามกลาง พวกเขา
แผนที่พวกเขาวางไว้คืออะไร,แผนที่ พวกเขา วาง ไว้ คือ อะไร
จาวา ไม่ได้เป็นแค่เกาะเท่านั้น แต่มันเป็นภาษาเขียนโปรแกรมคอมพิวเตอร์ที่นิยมกันมากด้วย,จ้า ว่า ไม่ ได้ เป็น แค่ เกาะ เท่านั้น   แต่ มัน เป็น ภาษา เขียน โปรแกรม คอมพิวเตอร์ ที่ นิยม กัน มาก ด้วย
ฟิลลิปป้าเป็นคนเตะบอลและเจนเป็นคนเก็บมัน,ฟิลิป ปา เป็น คน เตะ บอล และ เจน เป็น คนเก็บ มัน
ในประเทศอังกฤษ เราใช้ถุงกระดาษในการช็อปปิ้ง,ในประเทศ อังกฤษ   เรา ใช้ ถุงกระดาษ ใน การ ช็อปปิ้ง
ฉันขอเป็นทาโก้ค่ะ,ฉัน ขอ เป็น ทา โก้ ค่ะ
คุณควรใช้ความหวังความปรารถนาและความปรารถนาของคุณให้เกิดประโยชน์สูงสุด,คุณ ควร ใช้ ความหวัง ความปรารถนา และ ความปรารถนา ของ คุณ ให้ เกิด ประโยชน์ สูงสุด
อุ๊ปส์ฉันไม่ต้องการที่จะจู่โจมคุณ,อุ๊ปส์   ฉัน ไม่ต้องการ ที่จะ จู่จม คุณ
โอ้ มันน่าจะสนุก,โอ้ มัน น่าจะ สนุก
คุณคิดว่าคุณถูกสร้างให้เป็นอะไร,คุณ คิด ว่า คุณ ถูก สร้าง ท้่ เป็น อะไร
มันแค่หลังจากตอนกลางวันเอง,มัน แค่ หลังจาก ตอนกลางวัน เอง
